CMDLINE /media/monte_share/conda_envs/dataproc/bin/python3.14 main_EEI_preproc.py
MEM 32011.656250 1776195203.9864
MEM 32011.656250 1776195204.0866
MEM 32011.656250 1776195204.1868
MEM 32011.656250 1776195204.2870
MEM 32011.656250 1776195204.3871
MEM 32011.656250 1776195204.4874
MEM 32011.656250 1776195204.5876
MEM 32011.656250 1776195204.6880
MEM 32011.656250 1776195204.7883
MEM 32011.656250 1776195204.8886
MEM 32011.656250 1776195204.9889
MEM 32011.656250 1776195205.0892
MEM 32011.656250 1776195205.1896
MEM 32011.656250 1776195205.2900
MEM 32011.656250 1776195205.3905
MEM 32011.656250 1776195205.4908
MEM 32011.656250 1776195205.5913
MEM 32011.656250 1776195205.6917
MEM 32011.656250 1776195205.7921
MEM 32011.656250 1776195205.8925
MEM 32011.656250 1776195205.9929
MEM 32011.656250 1776195206.0933
MEM 32011.656250 1776195206.1937
MEM 32011.656250 1776195206.2942
MEM 32011.656250 1776195206.3946
MEM 32011.656250 1776195206.4950
MEM 32011.656250 1776195206.5955
MEM 32011.656250 1776195206.6959
MEM 32011.656250 1776195206.7968
MEM 32011.656250 1776195206.8977
MEM 32011.656250 1776195206.9982
MEM 32011.656250 1776195207.0993
MEM 32011.656250 1776195207.2005
MEM 32011.656250 1776195207.3009
MEM 32011.656250 1776195207.4017
MEM 32011.656250 1776195207.5024
MEM 32011.656250 1776195207.6031
MEM 32011.656250 1776195207.7044
MEM 32011.656250 1776195207.8053
MEM 32011.656250 1776195207.9057
MEM 32011.656250 1776195208.0067
MEM 32011.656250 1776195208.1070
MEM 32011.656250 1776195208.2074
MEM 32011.656250 1776195208.3079
MEM 32011.656250 1776195208.4083
MEM 32011.656250 1776195208.5087
MEM 32011.656250 1776195208.6091
MEM 32011.656250 1776195208.7094
MEM 32011.656250 1776195208.8098
MEM 32011.656250 1776195208.9102
MEM 32011.656250 1776195209.0108
MEM 32011.656250 1776195209.1112
MEM 32011.656250 1776195209.2118
MEM 32011.656250 1776195209.3123
MEM 32011.656250 1776195209.4128
MEM 32011.656250 1776195209.5133
MEM 32011.656250 1776195209.6137
MEM 32011.656250 1776195209.7141
MEM 32011.656250 1776195209.8146
MEM 32011.656250 1776195209.9150
MEM 32011.656250 1776195210.0154
MEM 32011.656250 1776195210.1162
MEM 32011.656250 1776195210.2170
MEM 32011.656250 1776195210.3176
MEM 32011.656250 1776195210.4189
MEM 32011.656250 1776195210.5197
MEM 32011.656250 1776195210.6204
MEM 32011.656250 1776195210.7213
MEM 32011.656250 1776195210.8222
MEM 32011.656250 1776195210.9228
MEM 32011.656250 1776195211.0235
MEM 32011.656250 1776195211.1239
MEM 32011.656250 1776195211.2243
MEM 32011.656250 1776195211.3247
MEM 32011.656250 1776195211.4250
MEM 32011.656250 1776195211.5255
MEM 32011.656250 1776195211.6259
MEM 32011.656250 1776195211.7264
MEM 32011.656250 1776195211.8267
MEM 32011.656250 1776195211.9271
MEM 32011.656250 1776195212.0275
MEM 32011.656250 1776195212.1279
MEM 32011.656250 1776195212.2283
MEM 32011.656250 1776195212.3287
MEM 32011.656250 1776195212.4291
MEM 32011.656250 1776195212.5295
MEM 32011.656250 1776195212.6299
MEM 32011.656250 1776195212.7303
MEM 32011.656250 1776195212.8306
MEM 32011.656250 1776195212.9310
MEM 32011.656250 1776195213.0314
MEM 32011.656250 1776195213.1317
MEM 32011.656250 1776195213.2320
MEM 32011.656250 1776195213.3323
MEM 32011.656250 1776195213.4326
MEM 32011.656250 1776195213.5330
MEM 32011.656250 1776195213.6334
MEM 32011.656250 1776195213.7337
MEM 32011.656250 1776195213.8340
MEM 32011.656250 1776195213.9343
MEM 32011.656250 1776195214.0347
MEM 32011.656250 1776195214.1350
MEM 32011.656250 1776195214.2354
MEM 32011.656250 1776195214.3357
MEM 32011.656250 1776195214.4360
MEM 32011.656250 1776195214.5363
MEM 32011.656250 1776195214.6366
MEM 32011.656250 1776195214.7370
MEM 32011.656250 1776195214.8374
MEM 32011.656250 1776195214.9377
MEM 32011.656250 1776195215.0381
MEM 32011.656250 1776195215.1385
MEM 32011.656250 1776195215.2389
MEM 32011.656250 1776195215.3393
MEM 32011.656250 1776195215.4397
MEM 32011.656250 1776195215.5400
MEM 32011.656250 1776195215.6404
MEM 32011.656250 1776195215.7409
MEM 32011.656250 1776195215.8413
MEM 32011.656250 1776195215.9417
MEM 32011.656250 1776195216.0420
MEM 32011.656250 1776195216.1426
MEM 32011.656250 1776195216.2429
MEM 32011.656250 1776195216.3433
MEM 32011.656250 1776195216.4436
MEM 32011.656250 1776195216.5439
MEM 32011.656250 1776195216.6443
MEM 32011.656250 1776195216.7446
MEM 32011.656250 1776195216.8450
MEM 32011.656250 1776195216.9453
MEM 32011.656250 1776195217.0458
MEM 32011.656250 1776195217.1461
MEM 32011.656250 1776195217.2465
MEM 32011.656250 1776195217.3469
MEM 32011.656250 1776195217.4472
MEM 32011.656250 1776195217.5476
MEM 32011.656250 1776195217.6479
MEM 32011.656250 1776195217.7483
MEM 32011.656250 1776195217.8486
MEM 32011.656250 1776195217.9489
MEM 32011.656250 1776195218.0493
MEM 32011.656250 1776195218.1504
MEM 32011.656250 1776195218.2513
MEM 32011.656250 1776195218.3520
MEM 30055.574219 1776195218.4535
MEM 27086.890625 1776195218.5548
MEM 17683.500000 1776195218.6561
MEM 18107.500000 1776195218.7569
MEM 18477.500000 1776195218.8584
MEM 18879.500000 1776195218.9588
MEM 20173.500000 1776195219.0593
MEM 21220.925781 1776195219.1597
MEM 22518.925781 1776195219.2601
MEM 23401.660156 1776195219.3604
MEM 24557.656250 1776195219.4609
MEM 25833.656250 1776195219.5613
MEM 27119.656250 1776195219.6617
MEM 28343.656250 1776195219.7621
MEM 29641.656250 1776195219.8626
MEM 30931.656250 1776195219.9630
MEM 32011.656250 1776195220.0633
MEM 32011.656250 1776195220.1634
MEM 32011.656250 1776195220.2636
MEM 32011.656250 1776195220.3638
MEM 32011.656250 1776195220.4640
MEM 32011.656250 1776195220.5641
MEM 32011.656250 1776195220.6643
MEM 32011.656250 1776195220.7645
MEM 32011.656250 1776195220.8647
MEM 32011.656250 1776195220.9649
MEM 32011.656250 1776195221.0651
MEM 32011.656250 1776195221.1653
MEM 32011.656250 1776195221.2655
MEM 32011.656250 1776195221.3658
MEM 32011.656250 1776195221.4660
MEM 32011.656250 1776195221.5662
MEM 32011.656250 1776195221.6665
MEM 32011.656250 1776195221.7669
MEM 32011.656250 1776195221.8673
MEM 32011.656250 1776195221.9676
MEM 32011.656250 1776195222.0679
MEM 32011.656250 1776195222.1681
MEM 32011.656250 1776195222.2682
MEM 32011.656250 1776195222.3685
MEM 32011.656250 1776195222.4686
MEM 32011.656250 1776195222.5688
MEM 32011.656250 1776195222.6690
MEM 32011.656250 1776195222.7692
MEM 32011.656250 1776195222.8696
MEM 32011.656250 1776195222.9700
MEM 32011.656250 1776195223.0703
MEM 32011.656250 1776195223.1706
MEM 32011.656250 1776195223.2709
MEM 32011.656250 1776195223.3713
MEM 32011.656250 1776195223.4716
MEM 32011.656250 1776195223.5720
MEM 32011.656250 1776195223.6724
MEM 32011.656250 1776195223.7728
MEM 32011.656250 1776195223.8733
MEM 32011.656250 1776195223.9736
MEM 32011.656250 1776195224.0739
